Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossQ	Time
1	-48.35	0.0	-48.35	-48.35	-50.629997	26.114157	-35.78	-128.69	3457.0	3160.8	4999	1.033653	0.61830354	3.020624	-0.3321486	1.0441495	0.6050892	2.9629538	-0.5512002	0.14634928	258.8208737373352
2	-35.745	10.264999	-25.48	-46.01	-54.20999	36.966644	-27.09	-114.86	2475.5	2188.8	9999	6.6952176	2.788109	15.452811	0.51582515	6.6949644	2.7885778	15.508778	0.6396836	0.18961392	468.3958885669708
3	-74.16	54.12	-20.04	-128.28	-48.381	18.934866	-40.15	-105.01	2211.0	2894.2	14999	14.742445	2.7571502	24.089775	2.6214612	14.742232	2.7576463	24.090006	2.966208	1.1047809	697.438360452652
4	-61.303333	32.590504	-31.62	-106.68	-71.52599	38.370728	-15.61	-128.55	2052.3333	2568.1	19999	20.560762	2.944651	34.19289	3.8637006	20.560879	2.9436336	34.401627	4.242853	2.1338246	903.5428535938263
5	-59.743332	36.904068	-23.42	-110.36	-45.814	34.291992	-23.53	-114.21	1787.0	2313.2	24999	24.536802	3.2291274	38.5381	4.6454287	24.537224	3.2248323	38.903534	5.2351465	5.35006	1098.899510383606
6	-68.185	58.275	-9.91	-126.46	-39.927002	2.090722	-37.07	-43.67	1650.0	3060.2	29999	27.20827	3.5540338	41.140224	9.053898	27.208681	3.5498064	41.2899	9.117067	5.7523584	1327.0482800006866
7	-62.64	35.115406	-33.87	-112.08	-48.499	37.38499	-12.77	-129.94	2254.6667	2547.4	34999	28.981834	3.7829506	42.232597	10.182024	28.98234	3.77886	42.66486	10.032766	6.3567863	1528.2689309120178
8	-30.099998	16.07	-14.03	-46.17	-82.709	38.4834	-32.27	-118.4	1967.5	1970.1	39999	30.275742	4.0106006	46.120667	10.17773	30.276533	4.004642	45.967342	10.106813	5.42275	1705.8667175769806
9	-122.275	5.7450027	-116.53	-128.02	-89.77901	36.16169	-27.91	-121.06	2228.5	1918.1	44999	31.087992	4.163401	46.58213	10.78978	31.08908	4.1562433	47.07125	10.906525	6.8661265	1878.9018695354462
10	-118.31667	9.992868	-104.67	-128.32	-80.593	40.737404	-17.96	-124.58	1832.6666	2585.7	49999	31.418753	4.236229	46.540066	10.2961035	31.419598	4.230723	46.993576	10.677419	6.3280582	2087.1162350177765
11	-115.666664	8.339311	-104.86	-125.16	-45.553	24.998728	-34.79	-120.35	1567.6666	2825.9	54999	31.592339	4.348377	46.33585	8.431152	31.592785	4.3452992	46.55379	9.202178	9.088649	2300.9075214862823
12	-37.465	10.485001	-26.98	-47.95	-74.048996	36.145016	-37.27	-114.83	2715.5	1978.0	59999	31.463299	4.391184	47.188873	8.671554	31.464298	4.3848953	46.515842	9.365326	8.834514	2474.4732434749603
13	-117.13333	9.911523	-105.81	-129.95	-21.564	0.5290216	-20.88	-22.13	1714.3334	2139.6	64999	18.63784	15.137402	545.97736	-6.608812	18.607407	14.746024	186.2227	-2.047703	22.152338	2659.9855301380157
14	-81.93	48.257603	-14.79	-126.1	-22.101	0.6616712	-21.41	-22.81	1508.0	2186.3	69999	8.995362	2.4615262	13.18605	3.9311705	8.996573	2.4646928	13.296952	3.4965215	6.0907927	2851.8057720661163
15	-70.19	38.4603	-18.74	-107.78	-24.449001	0.6909482	-23.69	-25.29	1691.5	2271.4	74999	16.40903	1.8351701	19.689629	12.027855	16.410133	1.841849	19.866766	11.629745	7.9643607	3049.196917772293
16	-23.25	20.400002	-2.85	-43.65	-12.786	10.111502	-4.51	-25.17	1675.5	2187.4	79999	21.93154	1.3984995	24.57647	18.336039	21.931953	1.4089125	25.141085	17.90539	7.8299065	3243.8577196598053
17	-32.43	12.41	-20.02	-44.84	-20.182001	0.82723397	-19.49	-21.21	2582.0	2106.7	84999	26.0338	1.0452545	32.94725	22.279509	26.033953	1.0603868	28.412735	21.794048	9.044168	3438.926033973694
18	-30.185001	14.805001	-15.38	-44.99	-22.223999	0.6489254	-21.38	-22.77	2452.0	2184.0	89999	29.00149	0.6902498	30.383224	26.324015	29.00086	0.7168306	30.673704	25.846134	9.816078	3635.754453897476
