Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossQ	Time
1	-31.65	0.0	-31.65	-31.65	-38.012	38.314224	-16.21	-118.51	2489.0	1801.0	4999	1.0132799	0.58621746	2.7443967	-0.33174115	1.016445	0.58247346	2.6872795	-0.4290746	0.0995728	85.96497559547424
2	-93.9	33.98868	-27.75	-125.46	-57.763996	38.255226	-23.92	-108.79	1338.2	1524.8	9999	6.1921763	2.464316	13.815189	1.3426756	6.191413	2.4654963	13.913278	1.3470442	4.399852	212.43663668632507
3	-70.69	37.51	-33.18	-108.2	-109.066	2.0040271	-107.69	-112.2	1693.5	907.6	14999	12.709756	2.3830428	24.631624	4.48315	12.709645	2.3836167	24.523119	4.0617027	10.089617	318.46312856674194
4	-62.103333	44.022278	-29.31	-124.33	-28.470999	27.144129	-17.13	-109.71	2448.6667	1801.6	19999	17.375584	2.7675974	30.05128	5.92659	17.377157	2.7595317	30.010231	5.87129	9.343074	456.6453626155853
5	-40.577503	37.73476	-2.35	-103.3	-51.071003	34.573837	-25.49	-103.73	1266.5	1744.9	24999	20.707678	3.1238153	33.843784	6.9526515	20.709105	3.1164103	33.941685	6.8346834	9.363288	592.5989625453949
6	-86.45	38.377644	-10.27	-114.22	-60.628002	44.664963	-23.22	-118.41	804.8	1880.2	29999	22.80357	3.400526	38.306442	6.8380075	22.804241	3.397733	37.65094	7.035621	9.098365	731.9205806255341
7	-50.03	40.3525	-13.26	-106.21	-61.362	34.93969	-30.78	-104.19	1352.6666	1696.6	34999	24.065607	3.6784103	38.17657	4.521597	24.066166	3.6764855	37.846336	6.3628306	10.593091	866.5365936756134
8	-85.47333	37.054638	-33.92	-119.39	-63.894	37.610527	-30.87	-113.72	1618.3334	1938.3	39999	25.048943	3.9111931	38.816032	4.0963516	25.049438	3.9101145	38.847942	5.8304768	9.749852	1007.7208960056305
9	-86.28666	39.26807	-31.36	-120.84	-59.362	35.106113	-28.95	-102.35	1742.3334	1559.5	44999	25.687004	4.033587	39.665054	2.9078078	25.687225	4.0336227	39.739906	4.635666	10.5546465	1137.3011202812195
10	-60.690002	40.930885	-31.09	-118.57	-63.737	38.70942	-31.3	-125.62	2283.6667	1944.6	49999	25.82347	4.134811	39.72969	1.5822278	25.824142	4.133631	39.62697	3.338141	10.388989	1280.8647298812866
11	-62.48	44.074116	-7.05	-107.61	-87.857	38.07163	-27.74	-113.74	906.75	1611.8	54999	25.83219	4.200386	39.69039	0.8045269	25.83277	4.199616	39.68566	2.609087	11.753611	1413.5983142852783
12	-58.789997	38.89813	-30.37	-113.79	-68.911	38.7129	-29.36	-107.66	2107.3333	1589.9	59999	25.646507	4.2754126	40.10515	-1.828735	25.64733	4.272934	39.860226	0.39135143	10.157413	1545.7588984966278
13	-62.0875	44.27406	-6.74	-107.38	-60.195	46.005005	-14.19	-106.24	900.25	1221.5	64999	15.458579	12.841603	650.5596	-8.761418	15.40039	12.066251	89.65734	-4.5566435	27.413929	1664.9017398357391
14	-82.01667	38.678223	-27.67	-114.56	-50.995003	45.076736	-14.19	-106.24	1376.6666	1341.7	69999	8.719729	2.4267457	13.208321	3.2096722	8.718016	2.4241776	12.8958025	3.3948526	8.756328	1792.7892184257507
15	-72.701996	38.53684	-21.25	-104.95	-103.59599	3.6774116	-101.18	-109.22	1192.4	360.6	74999	15.980076	1.8422472	19.525614	11.359054	15.978365	1.8375127	19.309914	11.441773	8.88214	1886.2677083015442
16	-56.913334	40.113075	-28.16	-113.64	-18.632	0.0658484	-18.51	-18.7	2011.3334	1840.7	79999	21.311005	1.2812833	23.915274	17.55061	21.31036	1.2702825	23.687954	17.763123	12.300046	2034.1174988746643
17	-60.0575	44.468315	-3.58	-103.88	-50.99	45.070614	-14.19	-106.19	857.25	1341.2	84999	25.176357	0.9980969	27.374882	21.619553	25.176329	0.98202735	27.105267	21.869526	12.997416	2164.432441473007
18	-25.029999	5.8043838	-17.0	-30.52	-69.462006	44.93344	-14.43	-106.15	2206.6667	1098.4	89999	28.189358	0.77418923	30.09285	25.027552	28.18984	0.7552676	29.745342	25.35201	11.44519	2286.4969170093536
19	-93.807144	26.005266	-30.17	-106.57	-109.382996	0.26019427	-109.2	-109.79	724.1429	939.3	94999	30.229101	0.5487238	31.755886	27.04014	30.22967	0.5201828	36.953545	27.445526	15.061604	2403.8515565395355
