Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossQ	Time
1	-71.685	4.7250023	-66.96	-76.41	21.620998	0.26658753	21.82	20.93	2299.5	1812.1	4999	-0.10245018	0.18017662	4.063341	-27.111488	-0.112406634	0.5489318	8.769205	-75.124886	1.2782962	92.12633061408997
2	-35.416668	47.875927	32.29	-69.38	-501.185	0.005004883	-501.18	-501.19	1652.6666	118.5	9999	-0.39878824	0.19667901	3.4731789	-49.186726	-0.41250634	0.81194973	26.433022	-93.64272	1.2494658	176.33776712417603
3	-434.6166	159.80373	-77.29	-507.44	24.515	0.16499977	24.57	24.02	898.5	1812.0	14999	-1.2266331	0.27263817	-0.6106139	-1.7006273	-1.1879193	2.9528263	41.155003	-584.923	66.324646	321.8328342437744
4	-31.913336	54.09652	38.28	-93.36	-48.754005	0.16200028	-48.7	-49.24	1522.3334	2091.4	19999	-1.7119046	0.1050211	-1.4872175	-1.9792581	-1.7003189	3.89778	24.065254	-744.5634	113.13851	473.9774389266968
5	-66.299995	24.214966	-32.65	-88.63	-56.686005	0.1319996	-56.29	-56.73	1764.3334	2163.6	24999	-2.0573323	0.09726023	-1.8553948	-2.254132	-2.0738888	3.8606477	20.683012	-631.86176	93.505684	627.3621854782104
6	-62.296673	20.894617	-37.02	-88.19	-22.049002	0.062999725	-21.86	-22.07	1617.3334	1847.9	29999	-2.345439	0.08111775	-2.1709292	-2.5371091	-2.3522725	2.939761	11.806274	-666.28467	81.8784	771.0832087993622
7	-62.84667	39.566467	-7.0	-93.79	-501.187	0.0045870673	-501.18	-501.19	1762.3334	118.7	34999	-2.5886967	0.06772447	-2.438143	-2.76659	-2.593295	2.4608734	22.778627	-675.8936	72.50709	849.9267256259918
8	-301.125	199.41501	-101.71	-500.54	-506.31796	0.0060060113	-506.3	-506.32	1313.0	631.8	39999	-2.8103373	0.07375797	-2.6684558	-2.9981112	-2.8174663	2.6914935	12.881751	-710.8781	84.35031	949.5714576244354
9	-232.37666	206.49466	-79.05	-524.28	-20.97	0.0	-20.97	-20.97	2431.6667	1838.0	44999	-3.0495458	0.0659087	-2.9087152	-3.2175994	-3.0532405	2.3128967	19.911312	-666.7985	88.70497	1096.9674761295319
10	-198.31331	225.67616	-3.92	-514.72	-21.08	0.0	-21.08	-21.08	1315.3334	1839.0	49999	-3.2394173	0.063886136	-3.1224327	-3.4326003	-3.2402432	1.1563061	14.783519	-656.6592	75.275024	1247.8783469200134
